START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: K8AJS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 94656
NAME: John Bastin
LOCATION: OH
OPERATORS: K8AJS
CLUB: Mad River Radio Club
CREATED-BY: N1MM Logger+ 1.0.7954.0
SOAPBOX: QSL with W5MMW 2019-09-28 1909Z I know the zone is incorrect, but
SOAPBOX: that is what he sent, so that is what I logged.
QSO: 14089 RY 2019-09-28 1638 K8AJS         599 04 OH  IQ9UI         599 15 DX
QSO: 21083 RY 2019-09-28 1653 K8AJS         599 04 OH  TI2OY         599 07 DX
QSO: 21087 RY 2019-09-28 1723 K8AJS         599 04 OH  K6LL          599 03 AZ
QSO: 21087 RY 2019-09-28 1724 K8AJS         599 04 OH  NG7E          599 03 AZ
QSO: 21090 RY 2019-09-28 1725 K8AJS         599 04 OH  WM5DX         599 04 MS
QSO: 21092 RY 2019-09-28 1729 K8AJS         599 04 OH  K9CT          599 04 IL
QSO: 21094 RY 2019-09-28 1738 K8AJS         599 04 OH  K2ADA         599 05 FL
QSO: 14087 RY 2019-09-28 1754 K8AJS         599 04 OH  KR7Q          599 03 MT
QSO: 14103 RY 2019-09-28 1758 K8AJS         599 04 OH  VE7SZ         599 03 BC
QSO: 14102 RY 2019-09-28 1759 K8AJS         599 04 OH  W5LA          599 04 LA
QSO: 14107 RY 2019-09-28 1801 K8AJS         599 04 OH  W6SFI         599 03 CA
QSO: 14107 RY 2019-09-28 1802 K8AJS         599 04 OH  W9ILY         599 04 IL
QSO: 14107 RY 2019-09-28 1802 K8AJS         599 04 OH  KD7QOO        599 04 WY
QSO: 14107 RY 2019-09-28 1807 K8AJS         599 04 OH  WB7CYO        599 03 ID
